## Thu Aug  6 17:01:22 2026
## emapper-2.1.12
## /opt/miniconda3/envs/eggNOG-mapper/bin/emapper.py -i /home/andrey/scripts/MF6_proteomics_V2/data/annotation/annot.faa --itype proteins -m diamond --sensmode sensitive --dmnd_iterate no --block_size 0.4 --index_chunks 4 --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign realign --report_orthologs --excel --cpu 12 --data_dir /home/andrey/eggnog_db --temp_dir /home/andrey/scripts/MF6_proteomics_V2/data/annotation/eggnog/tmp --output annot --output_dir /home/andrey/scripts/MF6_proteomics_V2/data/annotation/eggnog --override
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
gnl|extdb|AC1V0C_03175	216591.BCAL3328	4.92e-120	342.0	COG1051@1|root,COG1051@2|Bacteria,1N03W@1224|Proteobacteria,2VRC0@28216|Betaproteobacteria,1K6NP@119060|Burkholderiaceae	28216|Betaproteobacteria	F	Belongs to the Nudix hydrolase family. NudJ subfamily	nudJ	-	-	-	-	-	-	-	-	-	-	-	NUDIX
gnl|extdb|AC1V0C_03180	216591.BCAL3327	4.55e-248	684.0	COG3288@1|root,COG3288@2|Bacteria,1MVXU@1224|Proteobacteria,2VJZN@28216|Betaproteobacteria,1K2GW@119060|Burkholderiaceae	28216|Betaproteobacteria	C	NADP transhydrogenase subunit alpha	pntAA	-	1.6.1.2	ko:K00324	ko00760,ko01100,map00760,map01100	-	R00112	RC00001	ko00000,ko00001,ko01000	-	-	-	AlaDh_PNT_C,AlaDh_PNT_N
gnl|extdb|AC1V0C_03185	216591.BCAL3326	9.45e-64	195.0	COG3288@1|root,COG3288@2|Bacteria,1MZ3E@1224|Proteobacteria,2VSM2@28216|Betaproteobacteria,1K8FI@119060|Burkholderiaceae	28216|Betaproteobacteria	C	NADP transhydrogenase	pntAb	-	1.6.1.1,1.6.1.2	ko:K00322,ko:K00324	ko00760,ko01100,map00760,map01100	-	R00112	RC00001	ko00000,ko00001,ko01000	-	-	-	PNTB_4TM
gnl|extdb|AC1V0C_03190	216591.BCAL3325	0.0	896.0	COG1282@1|root,COG1282@2|Bacteria,1MUP4@1224|Proteobacteria,2VIDR@28216|Betaproteobacteria,1K2V7@119060|Burkholderiaceae	28216|Betaproteobacteria	C	The transhydrogenation between NADH and NADP is coupled to respiration and ATP hydrolysis and functions as a proton pump across the membrane	pntB	-	1.6.1.2	ko:K00325	ko00760,ko01100,map00760,map01100	-	R00112	RC00001	ko00000,ko00001,ko01000	-	-	-	PNTB
gnl|extdb|AC1V0C_03195	216591.BCAL3324	5.17e-199	553.0	COG0583@1|root,COG0583@2|Bacteria,1R61D@1224|Proteobacteria,2W117@28216|Betaproteobacteria,1K5PJ@119060|Burkholderiaceae	28216|Betaproteobacteria	K	LysR substrate binding domain	-	-	-	ko:K18297	-	M00641,M00745	-	-	ko00000,ko00002,ko01504,ko03000	-	-	-	HTH_1,LysR_substrate
gnl|extdb|AC1V0C_03200	216591.BCAL3323	1.09e-221	611.0	COG0388@1|root,COG0388@2|Bacteria,1MWQG@1224|Proteobacteria,2VRMQ@28216|Betaproteobacteria,1K46S@119060|Burkholderiaceae	28216|Betaproteobacteria	S	nitrilase	nit2	-	3.5.5.1	ko:K01501	ko00380,ko00460,ko00627,ko00643,ko00910,ko01120,map00380,map00460,map00627,map00643,map00910,map01120	-	R00540,R01887,R03093,R03542,R05591,R07855	RC00315,RC00325,RC00617,RC00959,RC02811	ko00000,ko00001,ko01000	-	-	-	CN_hydrolase
gnl|extdb|AC1V0C_03205	292.DM42_1137	2.31e-163	457.0	COG2378@1|root,COG2378@2|Bacteria,1MXS8@1224|Proteobacteria,2VP6N@28216|Betaproteobacteria,1K0GC@119060|Burkholderiaceae	28216|Betaproteobacteria	K	PFAM Helix-turn-helix, type 11 domain protein	-	-	-	-	-	-	-	-	-	-	-	-	HTH_11,WYL
gnl|extdb|AC1V0C_03210	216591.BCAL3321	7.59e-89	261.0	COG3324@1|root,COG3324@2|Bacteria,1N7Q5@1224|Proteobacteria,2VT7E@28216|Betaproteobacteria,1KHBJ@119060|Burkholderiaceae	28216|Betaproteobacteria	C	glyoxalase bleomycin resistance protein dioxygenase	-	-	-	ko:K06996	-	-	-	-	ko00000	-	-	-	-
gnl|extdb|AC1V0C_03215	216591.BCAL3318	4.46e-312	850.0	COG0116@1|root,COG0116@2|Bacteria,1MUQM@1224|Proteobacteria,2VHMY@28216|Betaproteobacteria,1K0NW@119060|Burkholderiaceae	28216|Betaproteobacteria	L	Belongs to the methyltransferase superfamily	rlmL	-	-	ko:K07444	-	-	-	-	ko00000,ko01000	-	-	-	THUMP,UPF0020
gnl|extdb|AC1V0C_03220	292.DM42_1132	0.0	1323.0	COG4389@1|root,COG4389@2|Bacteria,1MWEH@1224|Proteobacteria,2VIZV@28216|Betaproteobacteria,1K4BX@119060|Burkholderiaceae	28216|Betaproteobacteria	L	site-specific recombinase	-	-	-	-	-	-	-	-	-	-	-	-	SpecificRecomb
gnl|extdb|AC1V0C_03225	216591.BCAL3316	3.33e-141	402.0	COG3009@1|root,COG3009@2|Bacteria,1RENU@1224|Proteobacteria,2VS6G@28216|Betaproteobacteria,1KFS9@119060|Burkholderiaceae	28216|Betaproteobacteria	S	ABC-type transport auxiliary lipoprotein component	-	-	-	ko:K09857	-	-	-	-	ko00000	-	-	-	ABC_trans_aux
gnl|extdb|AC1V0C_03230	216591.BCAL3315	0.0	1025.0	COG1463@1|root,COG3008@1|root,COG1463@2|Bacteria,COG3008@2|Bacteria,1MU1T@1224|Proteobacteria,2VJ44@28216|Betaproteobacteria,1K0NB@119060|Burkholderiaceae	28216|Betaproteobacteria	Q	PFAM Mammalian cell entry related domain protein	pqiB	-	-	ko:K06192	-	-	-	-	ko00000	-	-	-	MlaD
gnl|extdb|AC1V0C_03235	216591.BCAL3314	2e-141	400.0	COG2995@1|root,COG2995@2|Bacteria,1MWG1@1224|Proteobacteria,2VMXT@28216|Betaproteobacteria,1K33I@119060|Burkholderiaceae	28216|Betaproteobacteria	S	paraquat-inducible protein A	pqiA	-	-	ko:K03808	-	-	-	-	ko00000	-	-	-	PqiA
gnl|extdb|AC1V0C_03240	216591.BCAL3313	7.52e-136	387.0	COG2995@1|root,COG2995@2|Bacteria,1RAQ9@1224|Proteobacteria,2VQ5G@28216|Betaproteobacteria,1K09Y@119060|Burkholderiaceae	28216|Betaproteobacteria	S	paraquat-inducible protein A	pqiA	-	-	ko:K03808	-	-	-	-	ko00000	-	-	-	PqiA
gnl|extdb|AC1V0C_03245	216591.BCAL3312	1.81e-128	365.0	COG3038@1|root,COG3038@2|Bacteria,1MZ7X@1224|Proteobacteria,2VS28@28216|Betaproteobacteria,1K1EV@119060|Burkholderiaceae	28216|Betaproteobacteria	C	Cytochrome b561	cybB	-	-	ko:K12262	-	-	-	-	ko00000	-	-	-	Ni_hydr_CYTB
gnl|extdb|AC1V0C_03250	216591.BCAL3311	5.57e-123	351.0	COG2353@1|root,COG2353@2|Bacteria,1RJFZ@1224|Proteobacteria,2VQHC@28216|Betaproteobacteria,1K44N@119060|Burkholderiaceae	28216|Betaproteobacteria	S	Belongs to the UPF0312 family	-	-	-	-	-	-	-	-	-	-	-	-	YceI
gnl|extdb|AC1V0C_03255	216591.BCAL3310	3.63e-136	385.0	COG2353@1|root,COG2353@2|Bacteria,1RCXN@1224|Proteobacteria,2VS71@28216|Betaproteobacteria,1K02H@119060|Burkholderiaceae	28216|Betaproteobacteria	S	Belongs to the UPF0312 family	-	-	-	-	-	-	-	-	-	-	-	-	YceI
gnl|extdb|AC1V0C_03260	216591.BCAL3309	8.22e-288	788.0	COG0477@1|root,COG0477@2|Bacteria,1MU46@1224|Proteobacteria,2VN3E@28216|Betaproteobacteria,1KFFV@119060|Burkholderiaceae	28216|Betaproteobacteria	EGP	Major facilitator superfamily MFS_1	-	-	-	ko:K03762	-	-	-	-	ko00000,ko02000	2.A.1.6.4	-	-	MFS_1,Sugar_tr
gnl|extdb|AC1V0C_03265	216591.BCAL3308	2.66e-316	866.0	COG0793@1|root,COG0793@2|Bacteria,1MU39@1224|Proteobacteria,2VJ86@28216|Betaproteobacteria,1K2G4@119060|Burkholderiaceae	28216|Betaproteobacteria	M	Belongs to the peptidase S41A family	-	-	3.4.21.102	ko:K03797	-	-	-	-	ko00000,ko01000,ko01002	-	-	-	PDZ_2,Peptidase_S41
gnl|extdb|AC1V0C_03270	216591.BCAL3307	7.85e-215	594.0	COG0341@1|root,COG0341@2|Bacteria,1MU74@1224|Proteobacteria,2VHZG@28216|Betaproteobacteria,1K0M7@119060|Burkholderiaceae	28216|Betaproteobacteria	U	Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. SecDF uses the proton motive force (PMF) to complete protein translocation after the ATP-dependent function of SecA	secF	-	-	ko:K03074	ko03060,ko03070,map03060,map03070	M00335	-	-	ko00000,ko00001,ko00002,ko02044	2.A.6.4,3.A.5.2,3.A.5.7	-	-	SecD_SecF,Sec_GG
gnl|extdb|AC1V0C_03275	216591.BCAL3306	0.0	1248.0	COG0342@1|root,COG0342@2|Bacteria,1MV5U@1224|Proteobacteria,2VHKD@28216|Betaproteobacteria,1K02J@119060|Burkholderiaceae	28216|Betaproteobacteria	U	Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. SecDF uses the proton motive force (PMF) to complete protein translocation after the ATP-dependent function of SecA	secD	-	-	ko:K03072	ko03060,ko03070,map03060,map03070	M00335	-	-	ko00000,ko00001,ko00002,ko02044	2.A.6.4,3.A.5.2,3.A.5.7	-	-	SecD-TM1,SecD_SecF,Sec_GG
gnl|extdb|AC1V0C_03280	216591.BCAL3305	9.14e-66	200.0	COG1862@1|root,COG1862@2|Bacteria,1MZT2@1224|Proteobacteria,2VU6T@28216|Betaproteobacteria,1K7SV@119060|Burkholderiaceae	28216|Betaproteobacteria	U	Preprotein translocase, YajC subunit	yajC	-	-	ko:K03210	ko02024,ko03060,ko03070,map02024,map03060,map03070	M00335	-	-	ko00000,ko00001,ko00002,ko02044	3.A.5.1,3.A.5.2	-	-	YajC
gnl|extdb|AC1V0C_03285	292.DM42_1119	1.55e-295	805.0	COG0343@1|root,COG0343@2|Bacteria,1MUCA@1224|Proteobacteria,2VIRX@28216|Betaproteobacteria,1K053@119060|Burkholderiaceae	28216|Betaproteobacteria	F	Catalyzes the base-exchange of a guanine (G) residue with the queuine precursor 7-aminomethyl-7-deazaguanine (PreQ1) at position 34 (anticodon wobble position) in tRNAs with GU(N) anticodons (tRNA-Asp, -Asn, -His and -Tyr). Catalysis occurs through a double-displacement mechanism. The nucleophile active site attacks the C1' of nucleotide 34 to detach the guanine base from the RNA, forming a covalent enzyme-RNA intermediate. The proton acceptor active site deprotonates the incoming PreQ1, allowing a nucleophilic attack on the C1' of the ribose to form the product. After dissociation, two additional enzymatic reactions on the tRNA convert PreQ1 to queuine (Q), resulting in the hypermodified nucleoside queuosine (7-(((4,5-cis-dihydroxy-2- cyclopenten-1-yl)amino)methyl)-7-deazaguanosine)	tgt	-	2.4.2.29	ko:K00773	-	-	R03789,R10209	RC00063	ko00000,ko01000,ko03016	-	-	-	TGT
gnl|extdb|AC1V0C_03290	216591.BCAL3303	1.17e-247	681.0	COG0809@1|root,COG0809@2|Bacteria,1MUH3@1224|Proteobacteria,2VHJF@28216|Betaproteobacteria,1JZW6@119060|Burkholderiaceae	28216|Betaproteobacteria	F	Transfers and isomerizes the ribose moiety from AdoMet to the 7-aminomethyl group of 7-deazaguanine (preQ1-tRNA) to give epoxyqueuosine (oQ-tRNA)	queA	GO:0002097,GO:0002099,GO:0003674,GO:0003824,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0008616,GO:0009058,GO:0009116,GO:0009119,GO:0009163,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016740,GO:0016853,GO:0018130,GO:0019438,GO:0034404,GO:0034470,GO:0034641,GO:0034654,GO:0034660,GO:0042455,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0046116,GO:0046483,GO:0051075,GO:0055086,GO:0071704,GO:0090304,GO:0140098,GO:0140101,GO:1901135,GO:1901137,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901657,GO:1901659	2.4.99.17	ko:K07568	-	-	-	-	ko00000,ko01000,ko03016	-	-	-	Queuosine_synth
gnl|extdb|AC1V0C_03295	292.DM42_1117	0.0	1421.0	COG1200@1|root,COG1200@2|Bacteria,1MWN2@1224|Proteobacteria,2VHE8@28216|Betaproteobacteria,1K143@119060|Burkholderiaceae	28216|Betaproteobacteria	L	Critical role in recombination and DNA repair. Helps process Holliday junction intermediates to mature products by catalyzing branch migration. Has a DNA unwinding activity characteristic of a DNA helicase with a 3'- to 5'- polarity. Unwinds branched duplex DNA (Y-DNA)	recG	-	3.6.4.12	ko:K03655	ko03440,map03440	-	-	-	ko00000,ko00001,ko01000,ko03400	-	-	-	DEAD,Helicase_C,RecG_wedge
gnl|extdb|AC1V0C_03300	216591.BCAL3301	1.05e-225	622.0	COG0583@1|root,COG0583@2|Bacteria,1MVA1@1224|Proteobacteria,2VIBJ@28216|Betaproteobacteria,1JZPC@119060|Burkholderiaceae	28216|Betaproteobacteria	K	LysR family	oxyR	-	-	ko:K04761	ko02026,map02026	-	-	-	ko00000,ko00001,ko03000	-	-	-	HTH_1,LysR_substrate
gnl|extdb|AC1V0C_03310	216591.BCAL3299	0.0	1437.0	COG0376@1|root,COG0376@2|Bacteria,1MUBF@1224|Proteobacteria,2VH5H@28216|Betaproteobacteria,1K3VG@119060|Burkholderiaceae	28216|Betaproteobacteria	P	Bifunctional enzyme with both catalase and broad- spectrum peroxidase activity	katG	-	1.11.1.21	ko:K03782	ko00360,ko00380,ko00940,ko00983,ko01100,ko01110,map00360,map00380,map00940,map00983,map01100,map01110	-	R00602,R00698,R02596,R02670,R03919,R04007,R07443,R11906	RC00034,RC00213,RC00767,RC02141	ko00000,ko00001,ko01000	-	-	-	peroxidase
gnl|extdb|AC1V0C_03320	216591.BCAL3297	4.1e-111	319.0	COG0783@1|root,COG0783@2|Bacteria,1RAC5@1224|Proteobacteria,2VHJI@28216|Betaproteobacteria,1K08S@119060|Burkholderiaceae	28216|Betaproteobacteria	P	Belongs to the Dps family	dps	-	-	ko:K04047	-	-	-	-	ko00000,ko03036	-	-	-	Ferritin
gnl|extdb|AC1V0C_03325	292.DM42_1110	7.83e-205	566.0	COG0382@1|root,COG0382@2|Bacteria,1MV4Q@1224|Proteobacteria,2VHEU@28216|Betaproteobacteria,1K3QR@119060|Burkholderiaceae	28216|Betaproteobacteria	H	Catalyzes the prenylation of para-hydroxybenzoate (PHB) with an all-trans polyprenyl group. Mediates the second step in the final reaction sequence of ubiquinone-8 (UQ-8) biosynthesis, which is the condensation of the polyisoprenoid side chain with PHB, generating the first membrane-bound Q intermediate 3- octaprenyl-4-hydroxybenzoate	ubiA	-	2.5.1.39	ko:K03179	ko00130,ko01100,ko01110,map00130,map01100,map01110	M00117	R05000,R05615	RC00209,RC02895	ko00000,ko00001,ko00002,ko01000,ko01006	-	-	-	UbiA
gnl|extdb|AC1V0C_03330	292.DM42_1109	2.51e-172	483.0	COG0345@1|root,COG0345@2|Bacteria,1R5J1@1224|Proteobacteria,2VJD1@28216|Betaproteobacteria,1JZPH@119060|Burkholderiaceae	28216|Betaproteobacteria	E	Catalyzes the reduction of 1-pyrroline-5-carboxylate (PCA) to L-proline	proC	-	1.5.1.2	ko:K00286	ko00330,ko01100,ko01110,ko01130,ko01230,map00330,map01100,map01110,map01130,map01230	M00015	R01248,R01251,R03291,R03293	RC00054,RC00083	ko00000,ko00001,ko00002,ko01000	-	-	-	F420_oxidored,P5CR_dimer
gnl|extdb|AC1V0C_03340	292.DM42_1107	7.22e-303	825.0	COG0247@1|root,COG0247@2|Bacteria,1MWTK@1224|Proteobacteria,2VISA@28216|Betaproteobacteria,1K19D@119060|Burkholderiaceae	28216|Betaproteobacteria	C	glycolate oxidase (Iron-sulfur subunit)	glcF	-	-	ko:K11473	ko00630,ko01100,ko01110,ko01120,ko01130,map00630,map01100,map01110,map01120,map01130	-	R00475	RC00042	ko00000,ko00001	-	-	-	CCG,Fer4_8
gnl|extdb|AC1V0C_03345	216591.BCAL3289	5.72e-263	720.0	COG0277@1|root,COG0277@2|Bacteria,1MVYV@1224|Proteobacteria,2VHUQ@28216|Betaproteobacteria,1K1XC@119060|Burkholderiaceae	28216|Betaproteobacteria	C	PFAM FAD linked oxidase domain protein	glcE	-	-	ko:K11472	ko00630,ko01100,ko01110,ko01120,ko01130,map00630,map01100,map01110,map01120,map01130	-	R00475	RC00042	ko00000,ko00001	-	-	-	FAD_binding_4
gnl|extdb|AC1V0C_03350	292.DM42_1105	0.0	984.0	COG0277@1|root,COG0277@2|Bacteria,1MU6Y@1224|Proteobacteria,2VH8M@28216|Betaproteobacteria,1K0Q5@119060|Burkholderiaceae	28216|Betaproteobacteria	C	PFAM FAD linked oxidase domain protein	glcD	-	1.1.2.4,1.1.3.15,1.1.5.12	ko:K00102,ko:K00104,ko:K03777	ko00620,ko00630,ko01100,ko01110,ko01120,ko01130,map00620,map00630,map01100,map01110,map01120,map01130	-	R00197,R00475,R00704,R11591	RC00042,RC00044	ko00000,ko00001,ko01000	-	-	-	FAD-oxidase_C,FAD_binding_4
gnl|extdb|AC1V0C_03355	292.DM42_1104	0.0	916.0	COG0277@1|root,COG0277@2|Bacteria,1MU6Y@1224|Proteobacteria,2VI85@28216|Betaproteobacteria,1K241@119060|Burkholderiaceae	28216|Betaproteobacteria	C	PFAM FAD linked oxidase domain protein	dld	-	1.1.2.4,1.1.5.12	ko:K00102,ko:K03777	ko00620,ko01120,map00620,map01120	-	R00197,R00704,R11591	RC00044	ko00000,ko00001,ko01000	-	-	-	FAD-oxidase_C,FAD_binding_4
gnl|extdb|AC1V0C_03360	292.DM42_1103	4.44e-123	351.0	COG2096@1|root,COG2096@2|Bacteria,1RDUF@1224|Proteobacteria,2VQ7P@28216|Betaproteobacteria,1K1TA@119060|Burkholderiaceae	28216|Betaproteobacteria	S	Adenosyltransferase	yvqK	GO:0000166,GO:0001882,GO:0001883,GO:0003674,GO:0003824,GO:0005488,GO:0005524,GO:0005525,GO:0006725,GO:0006766,GO:0006767,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0009058,GO:0009110,GO:0009235,GO:0009236,GO:0009987,GO:0016043,GO:0016740,GO:0016765,GO:0017076,GO:0017144,GO:0018130,GO:0019001,GO:0019003,GO:0019438,GO:0019538,GO:0022607,GO:0030091,GO:0030554,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032559,GO:0032561,GO:0033013,GO:0033014,GO:0034641,GO:0035639,GO:0036094,GO:0042364,GO:0043167,GO:0043168,GO:0043170,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0044283,GO:0046483,GO:0051186,GO:0051188,GO:0051259,GO:0051260,GO:0065003,GO:0070206,GO:0070207,GO:0071704,GO:0071840,GO:0097159,GO:0097367,GO:1901265,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576	2.5.1.17	ko:K00798	ko00860,ko01100,map00860,map01100	M00122	R01492,R05220,R07268	RC00533	ko00000,ko00001,ko00002,ko01000	-	-	-	Cob_adeno_trans
gnl|extdb|AC1V0C_03365	292.DM42_1102	1.78e-284	778.0	COG1017@1|root,COG1018@1|root,COG1017@2|Bacteria,COG1018@2|Bacteria,1MV41@1224|Proteobacteria,2VIIV@28216|Betaproteobacteria,1K261@119060|Burkholderiaceae	28216|Betaproteobacteria	C	Is involved in NO detoxification in an aerobic process, termed nitric oxide dioxygenase (NOD) reaction that utilizes O(2) and NAD(P)H to convert NO to nitrate, which protects the bacterium from various noxious nitrogen compounds. Therefore, plays a central role in the inducible response to nitrosative stress	hmp	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0008150,GO:0008152,GO:0008941,GO:0016491,GO:0016705,GO:0016708,GO:0044424,GO:0044464,GO:0051213,GO:0055114	1.14.12.17	ko:K05916	ko05132,map05132	-	-	-	ko00000,ko00001,ko01000	-	-	-	Globin,NAD_binding_1
gnl|extdb|AC1V0C_03370	216591.BCAL3283	1.69e-46	150.0	COG4118@1|root,COG4118@2|Bacteria,1P1DQ@1224|Proteobacteria,2VVP8@28216|Betaproteobacteria,1KA2V@119060|Burkholderiaceae	28216|Betaproteobacteria	D	Antitoxin component of a toxin-antitoxin (TA) module	-	-	-	-	-	-	-	-	-	-	-	-	PhdYeFM_antitox
gnl|extdb|AC1V0C_03375	216591.BCAL3282	1.76e-259	711.0	COG0722@1|root,COG0722@2|Bacteria,1MU5Q@1224|Proteobacteria,2VH4W@28216|Betaproteobacteria,1K0HU@119060|Burkholderiaceae	28216|Betaproteobacteria	E	Stereospecific condensation of phosphoenolpyruvate (PEP) and D-erythrose-4-phosphate (E4P) giving rise to 3-deoxy-D- arabino-heptulosonate-7-phosphate (DAHP)	aroG	-	2.5.1.54	ko:K01626	ko00400,ko01100,ko01110,ko01130,ko01230,ko02024,map00400,map01100,map01110,map01130,map01230,map02024	M00022	R01826	RC00435	ko00000,ko00001,ko00002,ko01000	-	-	-	DAHP_synth_1
gnl|extdb|AC1V0C_03380	216591.BCAL3281	0.0	939.0	COG0312@1|root,COG0312@2|Bacteria,1MUSK@1224|Proteobacteria,2VHJ9@28216|Betaproteobacteria,1JZYM@119060|Burkholderiaceae	28216|Betaproteobacteria	S	PFAM peptidase U62 modulator of DNA gyrase	tldD	-	-	ko:K03568	-	-	-	-	ko00000,ko01002	-	-	-	PmbA_TldD
gnl|extdb|AC1V0C_03385	292.DM42_1097	2.43e-202	559.0	COG0388@1|root,COG0388@2|Bacteria,1MUUB@1224|Proteobacteria,2VIR4@28216|Betaproteobacteria,1K2WY@119060|Burkholderiaceae	28216|Betaproteobacteria	S	PFAM Nitrilase cyanide hydratase and apolipoprotein N-acyltransferase	opaA	-	3.5.5.1	ko:K01501,ko:K11206	ko00380,ko00460,ko00627,ko00643,ko00910,ko01120,map00380,map00460,map00627,map00643,map00910,map01120	-	R00540,R01887,R03093,R03542,R05591,R07855	RC00315,RC00325,RC00617,RC00959,RC02811	ko00000,ko00001,ko01000	-	-	-	CN_hydrolase
gnl|extdb|AC1V0C_03390	292.DM42_1096	0.0	2727.0	COG3164@1|root,COG3164@2|Bacteria,1MXWF@1224|Proteobacteria,2VH52@28216|Betaproteobacteria,1K1M9@119060|Burkholderiaceae	28216|Betaproteobacteria	S	Protein of unknown function	-	-	-	-	-	-	-	-	-	-	-	-	AsmA_2,DUF3971
gnl|extdb|AC1V0C_03395	216591.BCAL3278	0.0	1749.0	COG1391@1|root,COG1391@2|Bacteria,1MU4I@1224|Proteobacteria,2VH5B@28216|Betaproteobacteria,1K1WC@119060|Burkholderiaceae	28216|Betaproteobacteria	H	Involved in the regulation of glutamine synthetase GlnA, a key enzyme in the process to assimilate ammonia. When cellular nitrogen levels are high, the C-terminal adenylyl transferase (AT) inactivates GlnA by covalent transfer of an adenylyl group from ATP to specific tyrosine residue of GlnA, thus reducing its activity. Conversely, when nitrogen levels are low, the N-terminal adenylyl removase (AR) activates GlnA by removing the adenylyl group by phosphorolysis, increasing its activity. The regulatory region of GlnE binds the signal transduction protein PII (GlnB) which indicates the nitrogen status of the cell	glnE	-	2.7.7.42,2.7.7.89	ko:K00982	-	-	-	-	ko00000,ko01000	-	-	-	GlnD_UR_UTase,GlnE
gnl|extdb|AC1V0C_03400	339670.Bamb_0636	0.0	1353.0	COG1361@1|root,COG2931@1|root,COG3979@1|root,COG1361@2|Bacteria,COG2931@2|Bacteria,COG3979@2|Bacteria,1MUQC@1224|Proteobacteria	1224|Proteobacteria	M	PFAM Peptidase M11 gametolysin	-	-	-	-	-	-	-	-	-	-	-	-	-
gnl|extdb|AC1V0C_03405	216591.BCAL3277	0.0	1020.0	COG0497@1|root,COG0497@2|Bacteria,1MUNP@1224|Proteobacteria,2VHHA@28216|Betaproteobacteria,1K174@119060|Burkholderiaceae	28216|Betaproteobacteria	L	May be involved in recombinational repair of damaged DNA	recN	-	-	ko:K03631	-	-	-	-	ko00000,ko03400	-	-	-	SMC_N
gnl|extdb|AC1V0C_03410	216591.BCAL3276	1.16e-208	577.0	COG0061@1|root,COG0061@2|Bacteria,1MUBC@1224|Proteobacteria,2VIV0@28216|Betaproteobacteria,1K12C@119060|Burkholderiaceae	28216|Betaproteobacteria	F	Involved in the regulation of the intracellular balance of NAD and NADP, and is a key enzyme in the biosynthesis of NADP. Catalyzes specifically the phosphorylation on 2'-hydroxyl of the adenosine moiety of NAD to yield NADP	nadK	-	2.7.1.23	ko:K00858	ko00760,ko01100,map00760,map01100	-	R00104	RC00002,RC00078	ko00000,ko00001,ko01000	-	-	-	NAD_kinase
gnl|extdb|AC1V0C_03415	216591.BCAL3275	1.05e-231	639.0	COG1420@1|root,COG1420@2|Bacteria,1MVX4@1224|Proteobacteria,2VHCK@28216|Betaproteobacteria,1JZQY@119060|Burkholderiaceae	28216|Betaproteobacteria	K	Negative regulator of class I heat shock genes (grpE- dnaK-dnaJ and groELS operons). Prevents heat-shock induction of these operons	hrcA	-	-	ko:K03705	-	-	-	-	ko00000,ko03000	-	-	-	HrcA,HrcA_DNA-bdg
gnl|extdb|AC1V0C_03420	216591.BCAL3274	1.61e-254	698.0	COG0276@1|root,COG0276@2|Bacteria,1MVR1@1224|Proteobacteria,2VH7Z@28216|Betaproteobacteria,1K1UG@119060|Burkholderiaceae	28216|Betaproteobacteria	H	Catalyzes the ferrous insertion into protoporphyrin IX	hemH	-	4.99.1.1,4.99.1.9	ko:K01772	ko00860,ko01100,ko01110,map00860,map01100,map01110	M00121	R00310,R11329	RC01012	ko00000,ko00001,ko00002,ko01000	-	-	-	Ferrochelatase
gnl|extdb|AC1V0C_03425	216591.BCAL3273	4.92e-90	264.0	COG1188@1|root,COG1188@2|Bacteria,1MZR6@1224|Proteobacteria,2VTY8@28216|Betaproteobacteria,1K7KZ@119060|Burkholderiaceae	28216|Betaproteobacteria	J	PFAM RNA-binding S4 domain protein	hslR	-	-	ko:K04762	-	-	-	-	ko00000,ko03110	-	-	-	S4
gnl|extdb|AC1V0C_03430	292.DM42_1090	1.59e-26	97.4	2AGTC@1|root,3171E@2|Bacteria,1PY9Q@1224|Proteobacteria,2WDHQ@28216|Betaproteobacteria,1KAC4@119060|Burkholderiaceae	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
gnl|extdb|AC1V0C_03435	339670.Bamb_0644	3.18e-106	308.0	COG0576@1|root,COG0576@2|Bacteria,1RH8T@1224|Proteobacteria,2VSEQ@28216|Betaproteobacteria,1K3P1@119060|Burkholderiaceae	28216|Betaproteobacteria	O	Participates actively in the response to hyperosmotic and heat shock by preventing the aggregation of stress-denatured proteins, in association with DnaK and GrpE. It is the nucleotide exchange factor for DnaK and may function as a thermosensor. Unfolded proteins bind initially to DnaJ	grpE	-	-	ko:K03687	-	-	-	-	ko00000,ko03029,ko03110	-	-	-	GrpE
