accession	contig	size_rank	length	cds	ribosomal_proteins	core_markers	n_core_markers	replicon_type
GCF_023373665.1	NZ_CP090777.1	3	551761	479	1		0	secondary_large
GCF_023373685.1	NZ_CP090782.1	1	3398495	3124	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_023373685.1	NZ_CP090781.1	2	2358536	2003	1		0	secondary_large
GCF_023373685.1	NZ_CP090780.1	3	551749	479	1		0	secondary_large
GCF_023373725.1	NZ_CP090786.1	1	3275779	2943	53	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_023373725.1	NZ_CP090788.1	2	2145061	1825	1		0	secondary_large
GCF_023373725.1	NZ_CP090787.1	3	1111696	901	0		0	secondary_large
GCF_023373725.1	NZ_CP090789.1	4	73850	70	0		0	small_plasmid
GCF_023374315.1	NZ_CP090673.1	1	3359399	3076	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_023374315.1	NZ_CP090672.1	2	2352823	2001	1		0	secondary_large
GCF_023374315.1	NZ_CP090674.1	3	551759	479	1		0	secondary_large
GCF_023374335.1	NZ_CP090676.1	1	3511327	3203	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_023374335.1	NZ_CP090677.1	2	3122052	2739	1		0	secondary_large
GCF_023374335.1	NZ_CP090675.1	3	1017484	878	0		0	secondary_large
GCF_023374355.1	NZ_CP090680.1	1	3398001	3112	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_023374355.1	NZ_CP090678.1	2	2442620	2142	1		0	secondary_large
GCF_023374355.1	NZ_CP090679.1	3	542300	469	1		0	secondary_large
GCF_023374375.1	NZ_CP090682.1	1	3466987	3129	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_023374375.1	NZ_CP090681.1	2	2402736	2067	1		0	secondary_large
GCF_023374375.1	NZ_CP090683.1	3	728076	634	1		0	secondary_large
GCF_023374375.1	NZ_CP090684.1	4	156151	148	0		0	small_plasmid
GCF_023374395.1	NZ_CP090687.1	1	3360663	3077	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_023374395.1	NZ_CP090686.1	2	2358312	2004	1		0	secondary_large
GCF_023374395.1	NZ_CP090685.1	3	551747	479	1		0	secondary_large
GCF_023374415.1	NZ_CP090689.1	1	3465544	3127	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_023374415.1	NZ_CP090688.1	2	2402749	2068	1		0	secondary_large
GCF_023374415.1	NZ_CP090690.1	3	728075	634	1		0	secondary_large
GCF_023374415.1	NZ_CP090691.1	4	156152	151	0		0	small_plasmid
GCF_023374435.1	NZ_CP090692.1	1	3484443	3165	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_023374435.1	NZ_CP090694.1	2	2435330	2090	1		0	secondary_large
GCF_023374435.1	NZ_CP090693.1	3	816086	716	1		0	secondary_large
GCF_023374455.1	NZ_CP090695.1	1	3365308	3098	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_023374455.1	NZ_CP090696.1	2	2309426	1974	1		0	secondary_large
GCF_023374455.1	NZ_CP090697.1	3	578497	495	1		0	secondary_large
GCF_023374475.1	NZ_CP090699.1	1	4997612	4484	53	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1_fused
GCF_023374475.1	NZ_CP090698.1	2	3501858	3108	1		0	secondary_large
GCF_023374495.1	NZ_CP090701.1	1	3393740	3089	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_023374495.1	NZ_CP090702.1	2	2336499	2026	1		0	secondary_large
GCF_023374495.1	NZ_CP090700.1	3	546320	472	1		0	secondary_large
GCF_023374515.1	NZ_CP090703.1	1	3374995	3091	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_023374515.1	NZ_CP090705.1	2	2349819	2043	1		0	secondary_large
GCF_023374515.1	NZ_CP090704.1	3	560674	484	1		0	secondary_large
GCF_023374515.1	NZ_CP090706.1	4	115999	114	0		0	small_plasmid
GCF_023374535.1	NZ_CP090707.1	1	3374577	3067	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_023374535.1	NZ_CP090708.1	2	2439213	2127	1		0	secondary_large
GCF_023374535.1	NZ_CP090709.1	3	564987	490	1		0	secondary_large
GCF_023374575.1	NZ_CP090714.1	1	3569564	3310	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_023374575.1	NZ_CP090715.1	2	2432265	2128	1		0	secondary_large
GCF_023374575.1	NZ_CP090716.1	3	617476	545	1		0	secondary_large
GCF_023374595.1	NZ_CP090718.1	1	3465546	3128	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_023374595.1	NZ_CP090717.1	2	2402759	2069	1		0	secondary_large
GCF_023374595.1	NZ_CP090719.1	3	728078	634	1		0	secondary_large
GCF_023374595.1	NZ_CP090720.1	4	156152	149	0		0	small_plasmid
GCF_023374615.1	NZ_CP090721.1	1	3365315	3101	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_023374615.1	NZ_CP090722.1	2	2309425	1972	1		0	secondary_large
GCF_023374615.1	NZ_CP090723.1	3	578501	495	1		0	secondary_large
GCF_023374635.1	NZ_CP090724.1	1	3347122	3041	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_023374635.1	NZ_CP090725.1	2	2439884	2136	1		0	secondary_large
GCF_023374635.1	NZ_CP090726.1	3	562942	488	1		0	secondary_large
GCF_023374655.1	NZ_CP090728.1	1	3378067	3073	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_023374655.1	NZ_CP090727.1	2	2437988	2132	1		0	secondary_large
GCF_023374655.1	NZ_CP090729.1	3	423099	369	1		0	secondary_large
GCF_023374675.1	NZ_CP090730.1	1	3639129	3304	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_023374675.1	NZ_CP090732.1	2	3516028	3118	1		0	secondary_large
GCF_023374675.1	NZ_CP090731.1	3	1358651	1179	1		0	secondary_large
GCF_023374695.1	NZ_CP090733.1	1	3383971	3087	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_023374695.1	NZ_CP090735.1	2	2406999	2048	1		0	secondary_large
GCF_023374695.1	NZ_CP090734.1	3	563563	482	1		0	secondary_large
GCF_023374695.1	NZ_CP090736.1	4	10868	16	0		0	small_plasmid
GCF_023374715.1	NZ_CP090737.1	1	3639150	3306	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_023374715.1	NZ_CP090738.1	2	3504726	3110	1		0	secondary_large
GCF_023374715.1	NZ_CP090739.1	3	1358664	1177	1		0	secondary_large
GCF_023374735.1	NZ_CP090740.1	1	3414095	3132	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_023374735.1	NZ_CP090742.1	2	2404909	2045	1		0	secondary_large
GCF_023374735.1	NZ_CP090741.1	3	563580	482	1		0	secondary_large
GCF_023374735.1	NZ_CP090743.1	4	10868	16	0		0	small_plasmid
GCF_023374755.1	NZ_CP090746.1	1	3400005	3125	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_023374755.1	NZ_CP090745.1	2	2358520	2003	1		0	secondary_large
GCF_023374755.1	NZ_CP090744.1	3	551769	479	1		0	secondary_large
GCF_023374775.1	NZ_CP090747.1	1	3488591	3164	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_023374775.1	NZ_CP090748.1	2	2288622	1966	1		0	secondary_large
GCF_023374775.1	NZ_CP090749.1	3	546597	456	1		0	secondary_large
GCF_023374775.1	NZ_CP090750.1	4	106647	115	0		0	small_plasmid
GCF_023374775.1	NZ_CP090751.1	5	89642	94	0		0	small_plasmid
GCF_023374775.1	NZ_CP090752.1	6	14081	20	0		0	small_plasmid
GCF_023374795.1	NZ_CP090753.1	1	3369738	3062	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_023374795.1	NZ_CP090754.1	2	2436911	2126	1		0	secondary_large
GCF_023374795.1	NZ_CP090755.1	3	564128	488	1		0	secondary_large
GCF_023374815.1	NZ_CP090757.1	1	3440126	3196	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_023374815.1	NZ_CP090758.1	2	2358546	2005	1		0	secondary_large
GCF_023374815.1	NZ_CP090756.1	3	551764	480	1		0	secondary_large
GCF_023374835.1	NZ_CP090760.1	1	3511529	3200	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_023374835.1	NZ_CP090761.1	2	3122641	2736	1		0	secondary_large
GCF_023374835.1	NZ_CP090759.1	3	1017703	879	0		0	secondary_large
GCF_023374855.1	NZ_CP090763.1	1	3511584	3200	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_023374855.1	NZ_CP090764.1	2	3122654	2737	1		0	secondary_large
GCF_023374855.1	NZ_CP090762.1	3	1017701	881	0		0	secondary_large
GCF_023374875.1	NZ_CP090766.1	1	3465547	3127	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_023374875.1	NZ_CP090765.1	2	2402736	2066	1		0	secondary_large
GCF_023374875.1	NZ_CP090767.1	3	728078	633	1		0	secondary_large
GCF_023374875.1	NZ_CP090768.1	4	156151	150	0		0	small_plasmid
GCF_023374895.1	NZ_CP090770.1	1	3372199	3099	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_023374895.1	NZ_CP090769.1	2	2885946	2467	2		0	secondary_large
GCF_023658595.1	NZ_CP098321.1	1	4166767	3591	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_023658595.1	NZ_CP098322.1	2	3872622	3102	2		0	secondary_large
GCF_024022955.1	NZ_CP099587.1	1	3746832	3384	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_024022955.1	NZ_CP099583.1	2	2864763	2339	1		0	secondary_large
GCF_024022955.1	NZ_CP099584.1	3	154173	178	0		0	small_plasmid
GCF_024022955.1	NZ_CP099585.1	4	136716	129	0		0	small_plasmid
GCF_024022955.1	NZ_CP099586.1	5	121702	117	0		0	small_plasmid
GCF_024072595.1	NZ_CP099623.1	1	4941516	4380	53	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1_fused
GCF_024072595.1	NZ_CP099625.1	2	3586118	3181	1		0	secondary_large
GCF_024072595.1	NZ_CP099626.1	3	447409	465	0		0	secondary_large
GCF_024072595.1	NZ_CP099624.1	4	147235	145	0		0	small_plasmid
GCF_024072715.1	NZ_CP099627.1	1	4941518	4382	53	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1_fused
GCF_024072715.1	NZ_CP099629.1	2	3584633	3182	1		0	secondary_large
GCF_024072715.1	NZ_CP099630.1	3	447414	462	0		0	secondary_large
GCF_024072715.1	NZ_CP099628.1	4	147235	144	0		0	small_plasmid
GCF_024123895.1	NZ_CP099647.1	1	4780939	4245	53	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1_fused
GCF_024123895.1	NZ_CP099645.1	2	3534758	3163	1		0	secondary_large
GCF_024123895.1	NZ_CP099644.1	3	434832	459	0		0	secondary_large
GCF_024123895.1	NZ_CP099646.1	4	294790	292	0		0	small_plasmid
GCF_024123895.1	NZ_CP099649.1	5	227758	213	0		0	small_plasmid
GCF_024123895.1	NZ_CP099648.1	6	83927	86	0		0	small_plasmid
GCF_024381035.2	NZ_CP101524.1	1	3787783	3570	53	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_024381035.2	NZ_CP101525.1	2	3525317	3131	1		0	secondary_large
GCF_024381035.2	NZ_CP101526.1	3	1260712	1033	0		0	secondary_large
GCF_024600575.1	NZ_CP102329.1	1	3611571	3294	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_024600575.1	NZ_CP102330.1	2	3408063	3010	1		0	secondary_large
GCF_024600575.1	NZ_CP102331.1	3	1406349	1234	1		0	secondary_large
GCF_024661975.1	NZ_CP102482.1	1	3812061	3546	53	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_024661975.1	NZ_CP102483.1	2	3173531	2831	1		0	secondary_large
GCF_024661975.1	NZ_CP102484.1	3	1246460	1103	0		0	secondary_large
GCF_024661975.1	NZ_CP102485.1	4	249693	257	0		0	small_plasmid
GCF_024662395.1	NZ_CP100131.1	1	3738765	3353	51	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_024662395.1	NZ_CP100132.1	2	2820186	2262	1		0	secondary_large
GCF_024662395.1	NZ_CP100133.1	3	189346	162	0		0	small_plasmid
GCF_024662395.1	NZ_CP100134.1	4	128913	143	0		0	small_plasmid
GCF_024662395.1	NZ_CP100135.1	5	104740	98	0		0	small_plasmid
GCF_024662415.1	NZ_CP100136.1	1	3644544	3294	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_024662415.1	NZ_CP100137.1	2	2808990	2305	1		0	secondary_large
GCF_024662415.1	NZ_CP100138.1	3	204816	179	0		0	small_plasmid
GCF_024662415.1	NZ_CP100139.1	4	170947	159	0		0	small_plasmid
GCF_024662435.1	NZ_CP100140.1	1	3791140	3448	51	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_024662435.1	NZ_CP100141.1	2	2812129	2259	1		0	secondary_large
GCF_024662435.1	NZ_CP100143.1	3	185317	160	0		0	small_plasmid
GCF_024662435.1	NZ_CP100142.1	4	145028	159	0		0	small_plasmid
GCF_024662455.1	NZ_CP100144.1	1	3726678	3403	51	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_024662455.1	NZ_CP100145.1	2	2828244	2263	1		0	secondary_large
GCF_024662455.1	NZ_CP100147.1	3	141000	121	0		0	small_plasmid
GCF_024662455.1	NZ_CP100148.1	4	136971	136	0		0	small_plasmid
GCF_024662455.1	NZ_CP100146.1	5	132942	138	0		0	small_plasmid
GCF_024662455.1	NZ_CP100149.1	6	132942	130	0		0	small_plasmid
GCF_024662475.1	NZ_CP100150.1	1	3912005	3622	51	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_024662475.1	NZ_CP100151.1	2	2828244	2264	1		0	secondary_large
GCF_024662475.1	NZ_CP100153.1	3	141000	119	0		0	small_plasmid
GCF_024662475.1	NZ_CP100154.1	4	141000	138	0		0	small_plasmid
GCF_024662475.1	NZ_CP100152.1	5	132942	139	0		0	small_plasmid
GCF_024662475.1	NZ_CP100155.1	6	128913	125	0		0	small_plasmid
GCF_024662615.1	NZ_CP100156.1	1	3912005	3600	51	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_024662615.1	NZ_CP100157.1	2	2828244	2283	1		0	secondary_large
GCF_024662615.1	NZ_CP100159.1	3	141000	152	0		0	small_plasmid
GCF_024662615.1	NZ_CP100160.1	4	141000	151	0		0	small_plasmid
GCF_024662615.1	NZ_CP100158.1	5	132942	139	0		0	small_plasmid
GCF_024662615.1	NZ_CP100161.1	6	128913	131	0		0	small_plasmid
GCF_024662735.1	NZ_CP100162.1	1	3912005	3624	51	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_024662735.1	NZ_CP100163.1	2	2828244	2265	1		0	secondary_large
GCF_024662735.1	NZ_CP100165.1	3	141000	119	0		0	small_plasmid
GCF_024662735.1	NZ_CP100166.1	4	141000	138	0		0	small_plasmid
GCF_024662735.1	NZ_CP100164.1	5	132942	139	0		0	small_plasmid
GCF_024662735.1	NZ_CP100167.1	6	128913	125	0		0	small_plasmid
GCF_024662895.1	NZ_CP100168.1	1	3912005	3624	51	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_024662895.1	NZ_CP100169.1	2	2828244	2264	1		0	secondary_large
GCF_024662895.1	NZ_CP100171.1	3	141000	119	0		0	small_plasmid
GCF_024662895.1	NZ_CP100172.1	4	141000	139	0		0	small_plasmid
GCF_024662895.1	NZ_CP100170.1	5	132942	139	0		0	small_plasmid
GCF_024662895.1	NZ_CP100173.1	6	128913	125	0		0	small_plasmid
GCF_024663015.1	NZ_CP100181.1	1	3673124	3326	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_024663015.1	NZ_CP100182.1	2	2846341	2305	1		0	secondary_large
GCF_024663015.1	NZ_CP100183.1	3	198988	183	0		0	small_plasmid
GCF_024663015.1	NZ_CP100184.1	4	172554	165	0		0	small_plasmid
GCF_024663015.1	NZ_CP100185.1	5	52685	64	0		0	small_plasmid
GCF_024663135.1	NZ_CP100174.1	1	3625957	3259	51	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_024663135.1	NZ_CP100175.1	2	2852417	2317	1		0	secondary_large
GCF_024663135.1	NZ_CP100176.1	3	185317	164	0		0	small_plasmid
GCF_024663135.1	NZ_CP100179.1	4	132942	132	0		0	small_plasmid
GCF_024663135.1	NZ_CP100177.1	5	124884	125	0		0	small_plasmid
GCF_024663135.1	NZ_CP100178.1	6	92653	102	0		0	small_plasmid
GCF_024663135.1	NZ_CP100180.1	7	88624	86	0		0	small_plasmid
GCF_024663255.1	NZ_CP100186.1	1	3738765	3352	51	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_024663255.1	NZ_CP100187.1	2	2820186	2258	1		0	secondary_large
GCF_024663255.1	NZ_CP100188.1	3	189346	161	0		0	small_plasmid
GCF_024663255.1	NZ_CP100189.1	4	128913	142	0		0	small_plasmid
GCF_024663255.1	NZ_CP100190.1	5	104740	96	0		0	small_plasmid
GCF_024663375.1	NZ_CP100191.1	1	3912005	3624	51	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_024663375.1	NZ_CP100192.1	2	2828244	2266	1		0	secondary_large
GCF_024663375.1	NZ_CP100194.1	3	141000	119	0		0	small_plasmid
GCF_024663375.1	NZ_CP100195.1	4	141000	139	0		0	small_plasmid
GCF_024663375.1	NZ_CP100193.1	5	132942	139	0		0	small_plasmid
GCF_024663375.1	NZ_CP100196.1	6	128913	125	0		0	small_plasmid
GCF_024663615.1	NZ_CP100197.1	1	3912004	3628	51	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_024663615.1	NZ_CP100198.1	2	2828243	2269	1		0	secondary_large
GCF_024663615.1	NZ_CP100200.1	3	140999	120	0		0	small_plasmid
GCF_024663615.1	NZ_CP100201.1	4	140999	139	0		0	small_plasmid
GCF_024663615.1	NZ_CP100199.1	5	132941	139	0		0	small_plasmid
GCF_024663615.1	NZ_CP100202.1	6	128912	126	0		0	small_plasmid
GCF_024663775.1	NZ_CP100203.1	1	3912005	3626	51	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_024663775.1	NZ_CP100204.1	2	2872561	2319	1		0	secondary_large
GCF_024663775.1	NZ_CP100206.1	3	141000	119	0		0	small_plasmid
GCF_024663775.1	NZ_CP100207.1	4	141000	139	0		0	small_plasmid
GCF_024663775.1	NZ_CP100205.1	5	132942	139	0		0	small_plasmid
GCF_024663775.1	NZ_CP100208.1	6	128913	125	0		0	small_plasmid
GCF_024663895.1	NZ_CP100209.1	1	3912005	3625	51	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_024663895.1	NZ_CP100210.1	2	2828244	2265	1		0	secondary_large
GCF_024663895.1	NZ_CP100212.1	3	141000	119	0		0	small_plasmid
GCF_024663895.1	NZ_CP100213.1	4	141000	139	0		0	small_plasmid
GCF_024663895.1	NZ_CP100211.1	5	132942	138	0		0	small_plasmid
GCF_024663895.1	NZ_CP100214.1	6	128913	125	0		0	small_plasmid
GCF_024663975.1	NZ_CP100215.1	1	3912006	3626	51	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_024663975.1	NZ_CP100216.1	2	2828245	2267	1		0	secondary_large
GCF_024663975.1	NZ_CP100218.1	3	141000	119	0		0	small_plasmid
GCF_024663975.1	NZ_CP100219.1	4	141000	140	0		0	small_plasmid
GCF_024663975.1	NZ_CP100217.1	5	132943	139	0		0	small_plasmid
GCF_024663975.1	NZ_CP100220.1	6	128914	127	0		0	small_plasmid
GCF_024663995.1	NZ_CP100221.1	1	3912004	3623	51	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_024663995.1	NZ_CP100222.1	2	2828243	2265	1		0	secondary_large
GCF_024663995.1	NZ_CP100224.1	3	140999	120	0		0	small_plasmid
GCF_024663995.1	NZ_CP100225.1	4	140999	139	0		0	small_plasmid
GCF_024663995.1	NZ_CP100223.1	5	132941	139	0		0	small_plasmid
GCF_024663995.1	NZ_CP100226.1	6	128912	125	0		0	small_plasmid
GCF_024664015.1	NZ_CP100233.1	1	3690419	3332	51	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_024664015.1	NZ_CP100234.1	2	2852417	2306	1		0	secondary_large
GCF_024664015.1	NZ_CP100235.1	3	225605	216	0		0	small_plasmid
GCF_024664015.1	NZ_CP100236.1	4	124884	136	0		0	small_plasmid
GCF_024664015.1	NZ_CP100237.1	5	100711	92	0		0	small_plasmid
GCF_024664035.1	NZ_CP100227.1	1	3912006	3626	51	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_024664035.1	NZ_CP100228.1	2	2828245	2265	1		0	secondary_large
GCF_024664035.1	NZ_CP100230.1	3	141000	119	0		0	small_plasmid
GCF_024664035.1	NZ_CP100231.1	4	141000	139	0		0	small_plasmid
GCF_024664035.1	NZ_CP100229.1	5	132943	139	0		0	small_plasmid
GCF_024664035.1	NZ_CP100232.1	6	128914	125	0		0	small_plasmid
GCF_024664055.1	NZ_CP100238.1	1	3827400	3490	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_024664055.1	NZ_CP100239.1	2	2836302	2283	1		0	secondary_large
GCF_024664055.1	NZ_CP100240.1	3	177259	155	0		0	small_plasmid
GCF_024664055.1	NZ_CP100241.1	4	132942	126	0		0	small_plasmid
GCF_024664055.1	NZ_CP100242.1	5	116826	115	0		0	small_plasmid
GCF_024664055.1	NZ_CP100243.1	6	84596	89	0		0	small_plasmid
GCF_024664075.1	NZ_CP100244.1	1	3779053	3433	51	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_024664075.1	NZ_CP100245.1	2	2796013	2253	1		0	secondary_large
GCF_024664075.1	NZ_CP100246.1	3	169201	172	0		0	small_plasmid
GCF_024664075.1	NZ_CP100247.1	4	136971	146	0		0	small_plasmid
GCF_024664075.1	NZ_CP100248.1	5	120855	103	0		0	small_plasmid
GCF_024664075.1	NZ_CP100249.1	6	16105	12	0		0	small_plasmid
GCF_024664095.1	NZ_CP100250.1	1	3702773	3355	51	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_024664095.1	NZ_CP100251.1	2	2834421	2305	1		0	secondary_large
GCF_024664095.1	NZ_CP100252.1	3	204789	206	0		0	small_plasmid
GCF_024664095.1	NZ_CP100253.1	4	172021	191	0		0	small_plasmid
GCF_024664095.1	NZ_CP100254.1	5	139253	152	0		0	small_plasmid
GCF_024664095.1	NZ_CP100255.1	6	118773	127	0		0	small_plasmid
GCF_024664115.1	NZ_CP100262.1	1	3734736	3380	51	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_024664115.1	NZ_CP100263.1	2	2783927	2254	1		0	secondary_large
GCF_024664115.1	NZ_CP100264.1	3	189346	193	0		0	small_plasmid
GCF_024664115.1	NZ_CP100265.1	4	116826	104	0		0	small_plasmid
GCF_024664115.1	NZ_CP100266.1	5	112798	121	0		0	small_plasmid
GCF_024664115.1	NZ_CP100267.1	6	80567	90	0		0	small_plasmid
GCF_024664135.1	NZ_CP100256.1	1	3593726	3218	51	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_024664135.1	NZ_CP100257.1	2	2880619	2354	1		0	secondary_large
GCF_024664135.1	NZ_CP100258.1	3	362586	357	0		0	secondary_large
GCF_024664135.1	NZ_CP100259.1	4	177259	157	0		0	small_plasmid
GCF_024664135.1	NZ_CP100260.1	5	141000	122	0		0	small_plasmid
GCF_024664135.1	NZ_CP100261.1	6	104740	110	0		0	small_plasmid
GCF_024664155.1	NZ_CP100268.1	1	3912005	3625	51	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_024664155.1	NZ_CP100269.1	2	2828244	2265	1		0	secondary_large
GCF_024664155.1	NZ_CP100271.1	3	141000	119	0		0	small_plasmid
GCF_024664155.1	NZ_CP100272.1	4	141000	139	0		0	small_plasmid
GCF_024664155.1	NZ_CP100270.1	5	132942	139	0		0	small_plasmid
GCF_024664155.1	NZ_CP100273.1	6	128913	126	0		0	small_plasmid
GCF_024664175.1	NZ_CP100274.1	1	3912005	3622	51	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_024664175.1	NZ_CP100275.1	2	2828244	2265	1		0	secondary_large
GCF_024664175.1	NZ_CP100277.1	3	141000	119	0		0	small_plasmid
GCF_024664175.1	NZ_CP100278.1	4	141000	138	0		0	small_plasmid
GCF_024664175.1	NZ_CP100276.1	5	132942	138	0		0	small_plasmid
GCF_024664175.1	NZ_CP100279.1	6	128913	125	0		0	small_plasmid
GCF_024664195.1	NZ_CP100280.1	1	3764216	3423	51	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_024664195.1	NZ_CP100281.1	2	2908152	2365	1		0	secondary_large
GCF_024664195.1	NZ_CP100282.1	3	147448	148	0		0	small_plasmid
GCF_024664195.1	NZ_CP100283.1	4	139256	122	0		0	small_plasmid
GCF_024664195.1	NZ_CP100284.1	5	61432	66	0		0	small_plasmid
GCF_024664215.1	NZ_CP100285.1	1	3625957	3241	51	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
GCF_024664215.1	NZ_CP100286.1	2	2735580	2190	1		0	secondary_large
GCF_024664215.1	NZ_CP100287.1	3	177259	178	0		0	small_plasmid
GCF_024664215.1	NZ_CP100288.1	4	132942	136	0		0	small_plasmid
GCF_024664215.1	NZ_CP100289.1	5	112798	103	0		0	small_plasmid
GCF_024664215.1	NZ_CP100290.1	6	100711	114	0		0	small_plasmid
GCF_024664235.1	NZ_CP100291.1	1	3651865	3325	52	dnaA;dnaN;ftsZ;gyrB;recA;rpoB;rpoC	7	chromosome1
